"date","day","plant_system","ave_ph","ave_do","ave_tds","ave_temp","ave_humidity","plant_no"
"2026-02-06","Friday","AERO","5.79770833333333","3.69833333333333","399.145833333333","23.085","63.29375","2"
"2026-02-06","Friday","AERO","5.79770833333333","3.69833333333333","399.145833333333","23.085","63.29375","4"
"2026-02-06","Friday","DWC","5.79770833333333","3.69833333333333","399.145833333333","23.085","63.29375","4"
"2026-02-06","Friday","DWC","5.79770833333333","3.69833333333333","399.145833333333","23.085","63.29375","5"
"2026-02-07","Saturday","AERO","5.80479166666667","3.64708333333333","408.729166666667","23.255625","62.9891666666667","1"
"2026-02-07","Saturday","AERO","5.80479166666667","3.64708333333333","408.729166666667","23.255625","62.9891666666667","6"
"2026-02-07","Saturday","DWC","5.80479166666667","3.64708333333333","408.729166666667","23.255625","62.9891666666667","1"
"2026-02-07","Saturday","DWC","5.80479166666667","3.64708333333333","408.729166666667","23.255625","62.9891666666667","5"
"2026-02-09","Monday","AERO","5.85458333333333","3.64645833333333","432.1875","23.21125","63.5139583333333","1"
"2026-02-09","Monday","AERO","5.85458333333333","3.64645833333333","432.1875","23.21125","63.5139583333333","2"
"2026-02-09","Monday","DWC","5.85458333333333","3.64645833333333","432.1875","23.21125","63.5139583333333","4"
"2026-02-09","Monday","DWC","5.85458333333333","3.64645833333333","432.1875","23.21125","63.5139583333333","5"
"2026-02-10","Tuesday","AERO","5.869375","3.69666666666667","445.8125","23.1675","63.1125","5"
"2026-02-10","Tuesday","AERO","5.869375","3.69666666666667","445.8125","23.1675","63.1125","6"
"2026-02-10","Tuesday","DWC","5.869375","3.69666666666667","445.8125","23.1675","63.1125","4"
"2026-02-10","Tuesday","DWC","5.869375","3.69666666666667","445.8125","23.1675","63.1125","6"
"2026-02-11","Wednesday","AERO","5.87833333333333","3.655625","445.270833333333","23.308125","63.3754166666667","1"
"2026-02-11","Wednesday","AERO","5.87833333333333","3.655625","445.270833333333","23.308125","63.3754166666667","6"
"2026-02-11","Wednesday","DWC","5.87833333333333","3.655625","445.270833333333","23.308125","63.3754166666667","1"
"2026-02-11","Wednesday","DWC","5.87833333333333","3.655625","445.270833333333","23.308125","63.3754166666667","6"
"2026-02-12","Thursday","AERO","5.88229166666667","3.75395833333333","468.625","23.2522916666667","63.6689583333333","3"
"2026-02-12","Thursday","AERO","5.88229166666667","3.75395833333333","468.625","23.2522916666667","63.6689583333333","6"
"2026-02-12","Thursday","DWC","5.88229166666667","3.75395833333333","468.625","23.2522916666667","63.6689583333333","1"
"2026-02-12","Thursday","DWC","5.88229166666667","3.75395833333333","468.625","23.2522916666667","63.6689583333333","6"
"2026-02-13","Friday","AERO","5.90458333333333","3.72416666666667","472.583333333333","23.140625","63.1516666666667","4"
"2026-02-13","Friday","AERO","5.90458333333333","3.72416666666667","472.583333333333","23.140625","63.1516666666667","5"
"2026-02-13","Friday","DWC","5.90458333333333","3.72416666666667","472.583333333333","23.140625","63.1516666666667","1"
"2026-02-13","Friday","DWC","5.90458333333333","3.72416666666667","472.583333333333","23.140625","63.1516666666667","4"
"2026-02-14","Saturday","AERO","5.92645833333333","3.58604166666667","482.5","23.159375","63.0245833333333","2"
"2026-02-14","Saturday","AERO","5.92645833333333","3.58604166666667","482.5","23.159375","63.0245833333333","4"
"2026-02-14","Saturday","DWC","5.92645833333333","3.58604166666667","482.5","23.159375","63.0245833333333","1"
"2026-02-14","Saturday","DWC","5.92645833333333","3.58604166666667","482.5","23.159375","63.0245833333333","3"
"2026-02-16","Monday","AERO","5.89416666666667","3.70041666666667","502.854166666667","23.1422916666667","62.8141666666667","3"
"2026-02-16","Monday","AERO","5.89416666666667","3.70041666666667","502.854166666667","23.1422916666667","62.8141666666667","4"
"2026-02-16","Monday","DWC","5.89416666666667","3.70041666666667","502.854166666667","23.1422916666667","62.8141666666667","1"
"2026-02-16","Monday","DWC","5.89416666666667","3.70041666666667","502.854166666667","23.1422916666667","62.8141666666667","6"
"2026-02-18","Wednesday","AERO","5.96208333333333","3.72375","523.020833333333","23.314375","63.4635416666667","1"
"2026-02-18","Wednesday","AERO","5.96208333333333","3.72375","523.020833333333","23.314375","63.4635416666667","3"
"2026-02-18","Wednesday","DWC","5.96208333333333","3.72375","523.020833333333","23.314375","63.4635416666667","1"
"2026-02-18","Wednesday","DWC","5.96208333333333","3.72375","523.020833333333","23.314375","63.4635416666667","2"
"2026-02-19","Thursday","AERO","5.945625","3.76104166666667","536.645833333333","23.1366666666667","63.0097916666667","2"
"2026-02-19","Thursday","AERO","5.945625","3.76104166666667","536.645833333333","23.1366666666667","63.0097916666667","3"
"2026-02-19","Thursday","DWC","5.945625","3.76104166666667","536.645833333333","23.1366666666667","63.0097916666667","5"
"2026-02-19","Thursday","DWC","5.945625","3.76104166666667","536.645833333333","23.1366666666667","63.0097916666667","6"
"2026-02-20","Friday","AERO","5.96354166666667","3.69895833333333","540.229166666667","23.153125","63.3622916666667","1"
"2026-02-20","Friday","AERO","5.96354166666667","3.69895833333333","540.229166666667","23.153125","63.3622916666667","3"
"2026-02-20","Friday","DWC","5.96354166666667","3.69895833333333","540.229166666667","23.153125","63.3622916666667","2"
"2026-02-20","Friday","DWC","5.96354166666667","3.69895833333333","540.229166666667","23.153125","63.3622916666667","4"
"2026-02-21","Saturday","AERO","6.005","3.77","559.333333333333","23.191875","63.635","1"
"2026-02-21","Saturday","AERO","6.005","3.77","559.333333333333","23.191875","63.635","5"
"2026-02-21","Saturday","DWC","6.005","3.77","559.333333333333","23.191875","63.635","3"
"2026-02-21","Saturday","DWC","6.005","3.77","559.333333333333","23.191875","63.635","6"
"2026-02-23","Monday","AERO","6.030625","3.689375","578.125","23.334375","63.1227083333333","4"
"2026-02-23","Monday","AERO","6.030625","3.689375","578.125","23.334375","63.1227083333333","6"
"2026-02-23","Monday","DWC","6.030625","3.689375","578.125","23.334375","63.1227083333333","3"
"2026-02-23","Monday","DWC","6.030625","3.689375","578.125","23.334375","63.1227083333333","6"
"2026-02-24","Tuesday","AERO","6.03625","3.77083333333333","584.6875","23.1785416666667","63.379375","1"
"2026-02-24","Tuesday","AERO","6.03625","3.77083333333333","584.6875","23.1785416666667","63.379375","6"
"2026-02-24","Tuesday","DWC","6.03625","3.77083333333333","584.6875","23.1785416666667","63.379375","5"
"2026-02-24","Tuesday","DWC","6.03625","3.77083333333333","584.6875","23.1785416666667","63.379375","6"
"2026-02-26","Thursday","AERO","6.06479166666667","3.730625","606.229166666667","23.1716666666667","63.7808333333333","4"
"2026-02-26","Thursday","AERO","6.06479166666667","3.730625","606.229166666667","23.1716666666667","63.7808333333333","5"
"2026-02-26","Thursday","DWC","6.06479166666667","3.730625","606.229166666667","23.1716666666667","63.7808333333333","1"
"2026-02-26","Thursday","DWC","6.06479166666667","3.730625","606.229166666667","23.1716666666667","63.7808333333333","6"
"2026-02-27","Friday","AERO","6.08416666666667","3.69208333333333","616.958333333333","23.2016666666667","63.0854166666667","3"
"2026-02-27","Friday","AERO","6.08416666666667","3.69208333333333","616.958333333333","23.2016666666667","63.0854166666667","4"
"2026-02-27","Friday","DWC","6.08416666666667","3.69208333333333","616.958333333333","23.2016666666667","63.0854166666667","1"
"2026-02-27","Friday","DWC","6.08416666666667","3.69208333333333","616.958333333333","23.2016666666667","63.0854166666667","4"
"2026-02-28","Saturday","AERO","6.07166666666667","3.66958333333333","623.458333333333","23.2152083333333","63.848125","3"
"2026-02-28","Saturday","AERO","6.07166666666667","3.66958333333333","623.458333333333","23.2152083333333","63.848125","6"
"2026-02-28","Saturday","DWC","6.07166666666667","3.66958333333333","623.458333333333","23.2152083333333","63.848125","2"
